Event	ID	Name			Wwise Object Path	Notes
	1436188198	cutscene_goblin_fort_gate_open			\Default Work Unit\Cutscenes\cutscene_goblin_fort_gate_open	
	1595821041	cutscene_tsar_bomb_explosion			\Default Work Unit\Cutscenes\cutscene_tsar_bomb_explosion	
	1676130152	cutscene_gorilla_tim_transform			\Default Work Unit\Cutscenes\cutscene_gorilla_tim_transform	
	2782363355	cutscene_gorilla_tim_end			\Default Work Unit\Cutscenes\cutscene_gorilla_tim_end	
	2918540979	cutscene_troll_burst_through_wall			\Default Work Unit\Cutscenes\cutscene_troll_burst_through_wall	
	2944812769	popup_prologue_end			\Default Work Unit\UI\popup_prologue_end	
	3065251264	cutscene_science_plant_guy			\Default Work Unit\Cutscenes\cutscene_science_plant_guy	
	3107207281	cutscene_prologue_bird_steals_note			\Default Work Unit\Cutscenes\cutscene_prologue_bird_steals_note	
	3317193065	cutscene_goblin_gate			\Default Work Unit\Cutscenes\cutscene_goblin_gate	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	69194916	cutscene_goblin_gate	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\cutscene_goblin_gate_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cutscenes\cutscene_goblin_gate		701581
	203386964	cutscene_science_plant_guy	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\cutscene_science_plant_guy_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cutscenes\cutscene_science_plant_guy		230662
	377666745	cutscene_goblin_fort_gate_open	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\cutscene_goblin_fort_gate_open_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cutscenes\cutscene_goblin_fort_gate_open		530154
	508279520	cutscene_tsar_bomb_explosion	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\cutscene_tsar_bomb_explosion_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cutscenes\cutscene_tsar_bomb_explosion		573422
	599256237	cutscene_prologue_bird_steals_note	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\cutscene_prologue_bird_steals_note_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cutscenes\cutscene_prologue_bird_steals_note		119472
	686605211	cutscene_troll_burst_through_wall	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\cutscene_troll_burst_through_wall_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cutscenes\cutscene_troll_burst_through_wall		79299
	727051739	cutscene_gorilla_tim_transform	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\cutscene_gorilla_tim_transform_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cutscenes\cutscene_gorilla_tim_transform		355839
	976816401	popup_prologue_end	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\popup_prologue_end_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\popups\popup_prologue_end		151947
	1036960597	cutscene_gorilla_tim_end	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\cutscene_gorilla_tim_end_E5B9617D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cutscenes\cutscene_gorilla_tim_end		467980

