Event	ID	Name			Wwise Object Path	Notes
	778418198	goblin_claw			\Default Work Unit\Enemies\goblin_claw	
	1294758591	goblin_nurse_heal			\Default Work Unit\Enemies\goblin_nurse_heal	
	1678422411	goblin_spit_hit			\Default Work Unit\Enemies\goblin_spit_hit	
	1926045709	goblin_snort			\Default Work Unit\Enemies\goblin_snort	
	4221441017	goblin_spit			\Default Work Unit\Enemies\goblin_spit	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	282102276	enemy_goblin_spit_hit	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_spit_hit_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_spit_hit		25084
	455379300	enemy_goblin_claw_01	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_claw_01_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_claw\enemy_goblin_claw_01		11339
	523294910	enemy_goblin_snort_02	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_snort_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_snort\enemy_goblin_snort_02		10161
	566261504	enemy_goblin_claw_02	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_claw_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_claw\enemy_goblin_claw_02		11983
	618837610	enemy_goblin_spit_02	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_spit_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_spit\enemy_goblin_spit_02		16139
	675382675	enemy_goblin_claw_03	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_claw_03_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_claw\enemy_goblin_claw_03		9389
	685268270	enemy_goblin_snort_03	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_snort_03_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_snort\enemy_goblin_snort_03		9458
	716071038	enemy_goblin_spit_03	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_spit_03_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_spit\enemy_goblin_spit_03		11368
	980495013	enemy_goblin_spit_01	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_spit_01_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_spit\enemy_goblin_spit_01		13138
	984335758	enemy_goblin_snort_01	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_snort_01_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_snort\enemy_goblin_snort_01		11687
	1064942310	enemy_goblin_nurse_heal	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_goblin_nurse_heal - Copy_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Goblin\enemy_goblin_nurse_heal		34685

