Event	ID	Name			Wwise Object Path	Notes
	80441969	object_tim_fight_platforms_break			\Default Work Unit\Object\object_tim_fight_platforms_break	
	94756280	gorilla_tim_confused			\Default Work Unit\Enemies\gorilla_tim_confused	
	616300807	object_tim_fight_platforms_appear			\Default Work Unit\Object\object_tim_fight_platforms_appear	
	1623032319	gorilla_tim_punch			\Default Work Unit\Enemies\gorilla_tim_punch	
	1783553065	object_tim_fight_barrel_hit			\Default Work Unit\Object\object_tim_fight_barrel_hit	
	2083050725	gorilla_tim_snarl			\Default Work Unit\Enemies\gorilla_tim_snarl	
	2433659511	gorilla_tim_walk_fist			\Default Work Unit\Enemies\gorilla_tim_walk_fist	
	2534913445	gorilla_tim_walk_feet			\Default Work Unit\Enemies\gorilla_tim_walk_feet	
	3157804382	gorilla_tim_equip_glasses			\Default Work Unit\Enemies\gorilla_tim_equip_glasses	
	3580486805	gorilla_tim_stun			\Default Work Unit\Enemies\gorilla_tim_stun	
	3734059916	object_tim_fight_barrel_destroy			\Default Work Unit\Object\object_tim_fight_barrel_destroy	
	3886083904	gorilla_tim_surprise			\Default Work Unit\Enemies\gorilla_tim_surprise	
	4279263867	gorilla_tim_ground_pound			\Default Work Unit\Enemies\gorilla_tim_ground_pound	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	52449106	enemy_gorilla_tim_ground_pound_02	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_ground_pound_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_ground_pound\enemy_gorilla_tim_ground_pound_02		60510
	87190625	enemy_gorilla_tim_snarl_03	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_snarl_03_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_snarl\enemy_gorilla_tim_snarl_03		20714
	123088860	object_tim_fight_barrel_hit	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\object_tim_fight_barrel_hit_FB1EEB1D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\object_tim_fight_barrel_hit		5798
	187622680	enemy_gorilla_tim_walk_fist_02	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_walk_fist_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_walk_fist\enemy_gorilla_tim_walk_fist_02		13241
	320465480	enemy_gorilla_tim_punch_02	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_punch_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_punch\enemy_gorilla_tim_punch_02		22908
	361634740	enemy_gorilla_tim_snarl_02	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_snarl_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_snarl\enemy_gorilla_tim_snarl_02		17878
	400128471	enemy_gorilla_tim_walk_feet_02	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_walk_feet_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_walk_feet\enemy_gorilla_tim_walk_feet_02		10962
	407461482	enemy_gorilla_tim_walk_feet_03	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_walk_feet_03_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_walk_feet\enemy_gorilla_tim_walk_feet_03		11005
	411843703	enemy_gorilla_tim_stun	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_stun_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_stun		62505
	482282404	enemy_gorilla_tim_punch_01	C:\Users\Miles\Documents\WwiseProjects\SuperDarylDeluxe\.cache\Windows\SFX\enemy_gorilla_tim_punch_01_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Gorilla Tim\enemy_gorilla_tim_punch\enemy_gorilla_tim_punch_01		26026
