Event	ID	Name			Wwise Object Path	Notes
	1305421707	captain_throw_boombox			\Default Work Unit\Enemies\captain_throw_boombox	
	2043198665	captain_sax_boombox_land			\Default Work Unit\Enemies\captain_sax_boombox_land	
	2122636165	captain_sax_stop			\Default Work Unit\Enemies\captain_sax_stop	
	2587606421	captain_sax_attack_enable			\Default Work Unit\Enemies\captain_sax_attack_enable	
	3883430244	captain_sax_attack_disable			\Default Work Unit\Enemies\captain_sax_attack_disable	
	4078085648	captain_sax_loop_intro			\Default Work Unit\Enemies\captain_sax_loop_intro	
	4178323474	captain_sax_full_loop_start			\Default Work Unit\Enemies\captain_sax_full_loop_start	

Game Parameter	ID	Name			Wwise Object Path	Notes
	635726887	Captain_Sax_Attack_State			\Default Work Unit\Captain_Sax_Attack_State	
	3412164238	Captain_Sax_Tempo			\Default Work Unit\Captain_Sax_Tempo	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	27681910	Hat real 2 - 2	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\Hat real 2 - 2_4C2B0FFC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\Hat real 2 - 2		44194
	44392907	Sweep Rev 1 - 2	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\Sweep Rev 1 - 2_4C2B0FFC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\Sweep Rev 1 - 2		9836
	130711528	snare fill 2 - 2	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\snare fill 2 - 2_AFC0A911.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\snare fill 2 - 2		43838
	151835743	Snare Heavy 2	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\Snare Heavy 2_11B53779.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\Snare Heavy 2		11806
	152632393	snare fill 3 - 2	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\snare fill 3 - 2_FDA9A3B6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\snare fill 3 - 2		44194
	167676866	Kick 1 - 2	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\Kick 1 - 2_4C2B0FFC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\Kick 1 - 2		23948
	188722740	Snare 1 - 3	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\Snare 1 - 3_4C2B0FFC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\Snare 1 - 3		21366
	197938321	Clap 2	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\Clap 2_4C2B0FFC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\Clap 2		6232
	244927625	Kick real 2 - 2	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\Kick real 2 - 2_4C2B0FFC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Captain Sax\Walk\Kick real 2 - 2		44102
	302303845	Layer 1	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\cpt_sax_edit_3_00000000.wem		\Interactive Music Hierarchy\Default Work Unit\enemy_captain_sax\walk\Layer 1		758
