Event	ID	Name			Wwise Object Path	Notes
	821597200	ui_locker_cant_equip_skill			\Default Work Unit\UI\locker\ui_locker_cant_equip_skill	
	1130422416	ui_locker_shopmenu_appear			\Default Work Unit\UI\locker\ui_locker_shopmenu_appear	
	1494939589	ui_locker_playermenu_appear			\Default Work Unit\UI\locker\ui_locker_playermenu_appear	
	1671194749	ui_locker_buy_skill			\Default Work Unit\UI\locker\ui_locker_buy_skill	
	1757482029	ui_locker_player_open			\Default Work Unit\UI\locker\ui_locker_player_open	
	2038741441	ui_locker_click_skill			\Default Work Unit\UI\locker\ui_locker_click_skill	
	3124076409	ui_locker_change_menu			\Default Work Unit\UI\locker\ui_locker_change_menu	
	3267622758	ui_locker_unequip_skill			\Default Work Unit\UI\locker\ui_locker_unequip_skill	
	3610076857	ui_locker_equip_skill			\Default Work Unit\UI\locker\ui_locker_equip_skill	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	80405452	ui_locker_player_open	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_player_open_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_player_open		32806
	82028075	ui_locker_unequip_skill	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_unequip_skill_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_unequip_skill		9564
	129364416	ui_locker_equip_skill	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_equip_skill_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_equip_skill		17256
	157209477	ui_locker_shopmenu_appear	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_shopmenu_appear_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_shopmenu_appear		11916
	187264495	ui_locker_click_skill_02	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_click_skill_02_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_click_skill\ui_locker_click_skill_02		6917
	258558561	ui_locker_playermenu_appear	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_playermenu_appear_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_playermenu_appear		9102
	319535379	ui_locker_cant_equip_skill	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_cant_equip_skill_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_cant_equip_skill		4583
	327598225	ui_locker_buy_skill	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_buy_skill_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_buy_skill		24157
	563010515	ui_locker_click_skill_01	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_click_skill_01_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_click_skill\ui_locker_click_skill_01		7542
	816960364	ui_locker_change_menu	C:\Users\Miles\Desktop\JUSTINCASE\SuperDarylDeluxe\.cache\Windows\SFX\ui_locker_change_menu_3314988A.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Skill Locker\ui_locker_change_menu		52917

